Date;Team_Home;Team_Away;League;Class_Home;Class_Away;Home_Prediction;Draw_Prediction;Away_Prediction;Odd_Home;Odd_Draw;Odd_Away;Result;_Double result;Goals
2022-12-19;Adanasport;Denizlispor;Turquia 2;3;1;65;20;15;1,59;3,73;5,01;Away;Away_Home;One
2022-12-19;CD Leganes;Real Zaragoza;Espanha 2;1;3;35;30;35;2,43;2,81;3,12;Home;Home_Draw;More_Two
2022-12-19;Wigan Athletic;Sheffield United;Inglaterra 2;3;1;25;27;47;3,71;3,33;1,97;Away;Draw_Away;More_Two
2022-12-20;CFR Cluj;FC Hermannstadt;Roménia 1;3;1;55;27;18;1,56;3,46;5,88;Away;Away_Home;Two
2022-12-20;Union Saint-Gilloise;KV Oostende;Belgica 1;1;3;64;21;16;1,29;5,05;7,59;Home;Home_Draw;More_Two
2022-12-20;Sestao River;Athletic Bilbao;Espanha T;3;1;10;18;72;17,00;5,75;1,28;Away;Draw_Away;More_Two
2022-12-20;Real Unión;Real Mallorca;Espanha T;3;1;22;24;54;9,50;4,60;1,45;Away;Draw_Away;More_Two
2022-12-20;Aberdeen FC;Rangers FC;Escócia 1;3;1;26;23;51;5,05;3,94;1,57;Away;Draw_Away;More_Two
2022-12-21;CD Ibiza-Islas;SD Eibar;Espanha T;1;3;8;17;75;5,25;3,75;1,75;Home;Away_Home;More_Two
2022-12-21;Pontevedra;CD Tenerife;Espanha T;1;3;32;30;38;3,60;3,30;2,20;Home;Away_Home;One
2022-12-21;Mariners;Newcastle;Australia 1;1;3;56;22;22;1,83;4,30;4,20;Home;Home_Draw;More_Two
2022-12-21;Persib Bandung;Persita Tangerang;Indonesia 1;1;3;56;23;21;1,73;4,10;4,90;Home;Home_Draw;One
2022-12-21;Levante;Andorra;Espanha T;1;3;55;26;19;1,85;3,50;5,30;Home;Home_Draw;Two
2022-12-21;CD Coria;Real Sociedad;Espanha T;3;1;5;11;84;21,00;7,60;1,20;Away;Draw_Away;Two
2022-12-21;Torremolinos;Sevilha;Espanha T;3;1;6;14;79;17,00;6,50;1,25;Away;Draw_Away;More_Two
2022-12-21;PAS Giannina;Olympiakos FC;Grécia 1;3;1;19;25;56;10,50;4,75;1,37;Away;Draw_Away;More_Two
2022-12-21;Levadiakos;Aris Salonica;Grécia 1;2;2;20;27;53;5,80;3,75;1,79;Draw;Draw_Away;One
2022-12-22;Polidesportivo Cacereno;Girona FC;Espanha T;1;3;10;16;74;13,00;5,00;1,33;Home;Away_Home;One
2022-12-22;Pordenone;Triestina;Itália 3;1;3;68;19;12;1,73;3,50;4,90;Home;Home_Draw;Two
2022-12-22;Gernika Club;Celta de Vigo;Espanha T;3;1;8;16;76;21,00;6,45;1,25;Away;Draw_Away;One
2022-12-22;Panetolikos;PAOK Salonica;Grécia 1;3;1;24;29;47;5,70;3,64;1,80;Away;Draw_Away;More_Two
2022-12-22;La Nucia;Las Palmas;Espanha T;2;2;17;26;57;4,20;4,40;2,00;Draw;Draw_Away;More_Two
2022-12-22;Semarang;Bali;Indonesia 1;3;1;28;26;46;3,18;3,30;2,24;Away;Draw_Away;More_Two
2022-12-23;Antalyaspor;MKE Ankaragucu;Turquia 1;3;1;41;25;34;2,02;3,76;4,00;Away;Away_Home;More_Two
2022-12-23;Juve Stabia;Gelbison Cilento;Itália 3;1;3;43;30;27;1,99;3,20;4,00;Home;Home_Draw;More_Two
2022-12-23;KAA Gent;Standard Liége;Belgica 1;2;2;68;19;13;1,67;4,14;5,50;Draw;Home_Draw;Two
2022-12-23;FC Crotone;ACR Messina;Itália 3;1;3;84;11;5;1,31;5,00;9,50;Home;Home_Draw;One
2022-12-23;Ross County;Rangers FC;Escócia 1;3;1;11;18;71;9,00;5,50;1,36;Away;Draw_Away;One
2022-12-23;GZ Evergrande FC;Beijing Guoan;China 1;3;1;13;18;69;5,50;4,00;1,66;Away;Draw_Away;One
2022-12-23;KV Mechelen;Cercle Brugge;Belgica 1;2;2;46;24;30;2,66;3,80;2,55;Draw;Draw_Away;More_Two
2022-12-24;Sydney FC;Macarthur FC;Australia 1;3;1;49;23;28;1,64;4,60;5,50;Away;Away_Home;One
2022-12-24;Paradou AC;RC Arbaa;Argelia 1;2;2;60;24;17;1,95;3,28;4,20;Draw;Home_Draw;Two
2022-12-24;ES Sétif;JS Saoura;Argelia 1;2;2;65;22;13;1,94;3,24;4,40;Draw;Home_Draw;Two
2022-12-24;USM Khenchla;ASO Chief;Argelia 1;1;3;67;20;12;1,71;3,35;5,60;Home;Home_Draw;One
2022-12-24;Hapoel Beer Sheva;Beitar Jerusalem;Israel 1;1;3;71;18;11;1,46;4,50;7,20;Home;Home_Draw;One
2022-12-24;PS TIRA;Persib Bandung;Indonesia 1;2;2;17;22;60;4,75;3,44;1,80;Draw;Draw_Away;One
2022-12-25;Galatasaray;Istanbulspor AS;Turquia 1;1;3;73;16;11;1,30;7,60;13,00;Home;Home_Draw;One
